"Dia","Top Gun Maverick","Avengers Infinity War"
0,0,0
1,52012661,106334939
2,90030362,188466551
3,126707459,257698183
4,160514980,282438300
5,176315726,305864408
6,191137143,322831270
7,205604011,338332540
8,230610828,369786289
9,266618973,416462994
10,295641022,453107350
11,308043218,461390925
12,321808619,472064425
13,334210732,479116406
14,343343936,486012103
15,357550541,501998715
16,377662168,528937652
17,395199280,548090150
18,401831621,552716088
19,409386652,558725380
20,415964903,562919365
21,422167545,566360959
22,433269593,573667744
23,449111114,586459603
24,466822620,595813862
25,474755566,598521956
26,480744957,601381683
27,486221180,603283178
28,491222824,605194638
29,499538911,609429495
30,511591662,615902773
31,520836963,622489295
32,525444936,627649180
33,530163206,629627397
34,534469160,631091923
35,538475367,632498932
36,545661529,635318800
37,555428925,639830568
38,564362559,643006211
39,570734231,644169802
40,575195970,645725073
41,579002890,646798749
42,581906113,647897699
43,586412338,649733985
44,592736647,652732618
45,597412643,655136398
46,599453895,656059331
47,601921383,657241872
48,604000127,658137049
49,605962568,658903950
50,609431185,660358147
51,614389643,662350308
52,618268949,664346211
53,620124637,664987816
54,622127073,665845272
55,623876652,666473647
56,625565887,666984449
57,628354627,667711860
58,632543084,668802081
59,635836882,669568677
60,637340009,669920722
61,639073043,670390838
62,640465348,670737505
63,641903700,671082712
64,,671521925
65,,672137234
66,,672625416
67,,672913479
68,,673307353
69,,673692867
70,,673929474
71,,674215223
72,,674602478
73,,674865809
74,,674996992
75,,675157041
76,,675291101
77,,675403437
78,,675582886
79,,675848690
80,,676024817
81,,676120394
82,,676245568
83,,676342080
84,,676433522
85,,676548225
86,,676721652
87,,676858988
88,,676932016
89,,677021005
90,,677095539
91,,677156078
92,,677271914
93,,677435686
94,,677562086
95,,677623975
96,,677698471
97,,677759383
98,,677816833
99,,677888160
100,,677990723
101,,678070679
102,,678107861
103,,678148348
104,,678184333
105,,678216107
106,,678270271
107,,678353710
108,,678405681
109,,678429834
110,,678453453
111,,678472493
112,,678490869
113,,678518296
114,,678561049
115,,678591431
116,,678601424
117,,678613085
118,,678622286
119,,678630680
120,,678643167
121,,678667875
122,,678685686
123,,678690536
124,,678696087
125,,678701228
126,,678707164
127,,678719246
128,,678744303
129,,678766226
130,,678781267
131,,678784083
132,,678786585
133,,678788703
134,,678792899
135,,678802457
136,,678809000
137,,678810450
138,,678812066
139,,678813674
140,,678815482
